player_name,team_name,primary_position,position_group,minutes,xg_per90,shots_per90,key_passes_per90,passes_per90,pass_completion_pct,dribbles_per90,recoveries_per90,def_actions_per90,xg_per90_pct,shots_per90_pct,key_passes_per90_pct,passes_per90_pct,pass_completion_pct_pct,dribbles_per90_pct,recoveries_per90_pct,def_actions_per90_pct
Jude Bellingham,England,Left Center Midfield,MID,442.0,0.171,1.019,0.611,56.021,88.0,2.241,6.722,8.352,89.6,67.7,46.9,71.9,75.0,88.5,90.6,70.8
Karim Boudiaf,Qatar,Center Defensive Midfield,MID,196.0,0.0,0.0,0.0,49.183,87.9,0.919,3.218,5.516,3.6,3.6,8.3,58.3,73.4,50.0,20.8,27.1
Krystian Bielik,Poland,Right Defensive Midfield,MID,240.0,0.051,0.75,0.0,36.735,91.8,1.499,2.624,11.245,57.8,51.0,8.3,26.0,92.7,68.8,9.4,97.9
Leandro Daniel Paredes,Argentina,Center Defensive Midfield,MID,244.0,0.005,0.369,0.738,88.525,94.6,0.0,3.689,9.221,10.4,26.0,55.7,99.0,99.0,5.7,29.2,82.3
Lucas Tolentino Coelho de Lima,Brazil,Right Defensive Midfield,MID,417.0,0.152,0.863,1.078,43.566,85.1,0.647,2.157,4.745,85.4,59.4,78.1,42.7,65.6,34.4,7.3,14.6
Luis Gerardo Chávez Magallón,Mexico,Left Defensive Midfield,MID,292.0,0.067,3.087,1.235,44.46,72.2,0.926,4.322,7.101,63.5,99.0,84.4,46.9,13.5,51.0,46.9,51.0
Luka Modrić,Croatia,Right Center Midfield,MID,676.0,0.046,0.799,0.799,73.092,84.3,1.331,5.192,5.592,47.9,55.2,63.5,92.7,55.2,63.5,71.9,30.2
Marcelo Brozović,Croatia,Center Defensive Midfield,MID,573.0,0.092,0.628,0.785,83.046,89.2,1.256,5.338,8.477,75.0,42.2,62.5,96.9,80.2,62.5,77.1,72.9
Marten de Roon,Netherlands,Right Defensive Midfield,MID,196.0,0.0,0.0,0.0,56.078,81.1,0.0,1.379,10.572,3.6,3.6,8.3,72.9,41.7,5.7,3.1,91.7
Mason Mount,England,Center Attacking Midfield,MID,205.0,0.08,1.755,0.439,32.472,86.5,1.755,3.072,5.266,71.9,87.5,35.4,14.6,70.8,75.0,15.6,24.0
Mateo Kovačić,Croatia,Left Center Midfield,MID,650.0,0.048,0.415,1.246,63.148,91.2,1.939,4.431,6.786,51.0,28.1,85.4,82.3,87.5,79.2,52.1,45.8
Mathew Leckie,Australia,Right Midfield,MID,341.0,0.03,0.264,0.264,27.201,67.0,3.697,4.225,9.507,39.6,12.5,20.8,10.4,7.3,95.8,44.8,86.5
Matías Vecino Falero,Uruguay,Left Center Midfield,MID,206.0,0.023,0.438,0.438,45.066,79.6,0.875,4.375,10.938,30.7,34.4,34.4,50.0,35.4,42.7,49.0,95.8
Mehdi Taremi,Iran,Center Attacking Midfield,MID,305.0,0.407,1.77,1.77,24.189,74.4,1.475,4.13,8.26,95.8,88.5,90.6,6.2,15.6,66.7,42.7,68.8
Mohammed Kanoo,Saudi Arabia,Left Center Midfield,MID,298.0,0.096,1.81,0.0,43.748,81.4,2.414,5.431,8.75,78.1,89.6,8.3,45.8,42.7,90.6,79.2,77.1
Moisés Isaac Caicedo Corozo,Ecuador,Left Defensive Midfield,MID,282.0,0.208,0.956,0.0,49.062,83.1,0.319,5.097,7.327,91.7,64.6,8.3,57.3,50.0,14.6,66.7,59.4
Nampalys Mendy,Senegal,Left Defensive Midfield,MID,294.0,0.029,0.611,0.306,49.524,89.5,0.917,5.808,4.891,38.0,39.6,21.9,60.4,83.3,47.9,82.3,16.7
Neymar da Silva Santos Junior,Brazil,Center Attacking Midfield,MID,285.0,0.673,3.791,1.264,49.28,78.8,6.634,4.107,3.159,100.0,100.0,87.0,59.4,28.1,96.9,41.7,4.2
Otávio Edmilson da Silva Monteiro,Portugal,Left Center Midfield,MID,197.0,0.047,1.368,1.824,59.726,77.1,0.912,4.103,4.559,49.0,77.1,92.7,77.1,22.9,46.9,40.6,9.4
