event_id,match_id,team_name,player_name,minute,shot_type,is_goal,statsbomb_xg,predicted_xg,distance,angle
4780ef6a-c5b0-4ed1-912e-829dd87523ad,3857258,Brazil,Rodrygo Silva de Goes,81,Open Play,0,0.03669105,0.04497409453153474,24.712952069714376,0.2777976945001823
e3a44182-23f4-4163-b36c-372a82466969,3857258,Brazil,Frederico Rodrigues Santos,82,Open Play,0,0.088970646,0.13536127735884054,24.649746449000247,0.3186998488970521
43d2379a-8f8d-438a-9a6b-e6b71031b2de,3857258,Serbia,Nikola Milenković,84,Open Play,0,0.011090157,0.012301897001646562,28.50701668010878,0.2049517268234003
a80ce031-0884-4242-b6f4-6a98d6986ddb,3857258,Brazil,Rodrygo Silva de Goes,86,Open Play,0,0.051727816,0.033141596950445176,20.751144546747295,0.34286350133850824
923a721a-ae1a-44c7-8971-547e071e8948,3857258,Brazil,Antony Matheus dos Santos,87,Open Play,0,0.009657804,0.013836755333767162,28.092169727523714,0.21000576060922052
6cc62a4d-3b8e-4ede-aea2-39ba41fa58e0,3857258,Serbia,Nemanja Radonjić,97,Open Play,0,0.008691933,0.003473935423359353,32.073197533142846,0.20409177404091655
80c4d7fe-0116-4a32-8bd1-d0a5b25c92f5,3857288,Australia,Fran Karačić,5,Open Play,0,0.015131147,0.0035985082480783264,29.124731758421394,0.2727524168361737
a6e6ba63-713b-4818-877b-c68c596a4828,3857288,Tunisia,Mohamed Dräger,20,Open Play,0,0.029703999,0.04056197531179891,28.111385593741193,0.2816228967392582
9acf82e6-81b3-4f91-968f-024463cca298,3857288,Australia,Mitchell Thomas Duke,22,Open Play,1,0.04459479,0.058796610106853144,12.420144926690675,0.5202047926820945
3c840fe1-f196-4050-80bc-a8a6ff2ba02a,3857288,Australia,Mitchell Thomas Duke,26,Open Play,0,0.03948435,0.04558494187634593,10.907795377618704,0.6256481122305231
5dcb4d82-7944-4872-83f3-6b274d8f26b2,3857288,Australia,Jackson Irvine,33,Open Play,0,0.07543106,0.13164287601705577,9.98649087517733,0.498693799947744
