event_id,match_id,period,minute,second,team_id,team_name,player_id,player_name,position_name,location_x,location_y,statsbomb_xg,outcome,is_goal,shot_type,is_penalty,is_free_kick,is_corner,is_open_play,body_part,is_header,technique,first_time,under_pressure,distance,angle,n_defenders_in_cone,gk_distance,n_opponents,n_teammates
966b275d-bde3-4aea-8b11-412b60a91021,3869220,3,99,56,772,Spain,39161,Alejandro Balde Martínez,Left Back,112.5,28.9,0.077706024,Blocked,0,Open Play,0,0,0,1,Left Foot,0,Normal,0,0,13.396268137059666,0.3517934765445089,2.0,10.32327467424945,8.0,4.0
405b81d7-6eec-43ca-91b2-a06f2e2dd008,3869220,3,102,51,772,Spain,6765,Rodrigo Hernández Cascante,Right Center Back,79.9,46.8,0.0056476467,Off T,0,Open Play,0,0,0,1,Right Foot,0,Normal,0,0,40.672472263190485,0.19337187399706954,1.0,39.42296285161732,11.0,8.0
6ece6c28-0fbd-48c5-9e57-5136be5695ec,3869220,3,103,35,788,Morocco,296254,Walid Cheddira,Center Forward,109.7,47.1,0.1301347,Saved,0,Open Play,0,0,0,1,Left Foot,0,Normal,0,1,12.509996003196802,0.5304166750075946,1.0,8.29276793356717,9.0,4.0
487e6618-8287-4346-9221-ec6bd1666314,3869220,3,106,9,772,Spain,6840,Marcos Llorente Moreno,Right Back,100.3,53.3,0.024551911,Blocked,0,Open Play,0,0,0,1,Right Foot,0,Half Volley,1,0,23.769307941124413,0.2795598614134707,6.0,15.220052562327107,10.0,8.0
e7a34ed0-521e-4440-9ee5-a8134e0f7dd0,3869220,4,105,1,788,Morocco,3634,Abdelhamid Sabiri,Left Center Midfield,59.6,39.7,0.004195439,Off T,0,Open Play,0,0,0,1,Right Foot,0,Lob,1,0,60.400745028517655,0.13225396773619846,1.0,55.10036297521097,11.0,6.0
990bd967-1e5e-4380-baf7-13af7ddde792,3869220,4,120,46,772,Spain,5203,Sergio Busquets i Burgos,Center Defensive Midfield,102.6,47.1,0.0709334,Blocked,0,Open Play,0,0,0,1,Left Foot,0,Normal,0,0,18.792817777012583,0.39153303977376375,2.0,13.669308687713517,11.0,6.0
b3de284b-d1cf-4fed-970c-400550d89daa,3869220,4,121,22,772,Spain,6583,Carlos Soler Barragán,Right Center Midfield,104.3,44.4,0.039505202,Blocked,0,Open Play,0,0,0,1,Head,1,Normal,0,0,16.30490723677998,0.4658065693438415,1.0,12.912009913255185,10.0,5.0
79542497-53b6-4d25-8a88-d0c18a6d453a,3869220,4,122,22,772,Spain,6720,Pablo Sarabia García,Right Wing,117.8,48.1,0.10407615,Post,0,Open Play,0,0,0,1,Right Foot,0,Volley,1,0,8.39344982709732,0.31263226607944755,1.0,5.220153254455275,8.0,5.0
07875275-5ae1-4193-a471-8f88db7f9887,3869220,5,120,7,788,Morocco,3634,Abdelhamid Sabiri,Left Defensive Midfield,108.0,40.0,0.7835,Goal,1,Penalty,1,0,0,0,Right Foot,0,Normal,0,0,12.0,0.6435011087932847,0.0,,0.0,0.0
f8d211fa-5374-4310-a982-8699c7335255,3869220,5,121,0,772,Spain,6720,Pablo Sarabia García,Right Wing,108.0,40.0,0.7835,Post,0,Penalty,1,0,0,0,Left Foot,0,Normal,0,0,12.0,0.6435011087932847,1.0,11.503912377969506,1.0,0.0
