player_id,player_name,team_name,minutes,goals,assists,key_passes,shots,xg,xg_per_90
3264,Vincent Janssen,Netherlands,92.0,0,0,1,2,0.16,0.16
11187,Stephen Antunes Eustáquio,Canada,125.0,0,0,2,3,0.16,0.12
29595,Ko Itakura,Japan,292.0,0,1,0,3,0.16,0.05
3034,Kamil Glik,Poland,389.0,0,0,0,3,0.15,0.03
3043,Christian Dannemann Eriksen,Denmark,291.0,0,0,9,4,0.15,0.05
5239,Alireza Jahanbakhsh,Iran,71.0,0,0,0,3,0.15,0.19
15890,Noussair Mazraoui,Morocco,376.0,0,0,1,4,0.15,0.04
16026,Djibril Sow,Switzerland,267.0,0,1,2,2,0.15,0.05
25363,Antony Matheus dos Santos,Brazil,139.0,0,0,3,6,0.15,0.1
30111,Felix Eduardo Torres Caicedo,Ecuador,288.0,0,0,0,1,0.15,0.05
3557,Naïm Sliti,Tunisia,127.0,0,0,2,1,0.14,0.1
5245,Achraf Hakimi Mouh,Morocco,699.0,0,1,6,4,0.14,0.02
5665,Arkadiusz Milik,Poland,117.0,0,0,0,1,0.14,0.11
8247,Joachim Andersen,Denmark,291.0,0,0,0,4,0.14,0.04
11737,Krystian Bielik,Poland,240.0,0,0,0,2,0.14,0.05
12803,Romario Andrés Ibarra Mina,Ecuador,74.0,0,0,0,2,0.14,0.17
56755,Abdulelah Saad Hameed Al-Malki,Saudi Arabia,189.0,0,0,0,2,0.14,0.07
348757,Kevin José Rodríguez Cortez,Ecuador,13.0,0,0,0,1,0.14,0.97
4935,Bryan Mbeumo,Cameroon,224.0,0,0,5,2,0.13,0.05
5259,José María Giménez de Vargas,Uruguay,298.0,0,0,1,3,0.13,0.04
5479,Aziz Eraltay Behich,Australia,387.0,0,0,0,2,0.13,0.03
6393,Iñaki Williams Arthuer,Ghana,273.0,0,0,1,2,0.13,0.04
20758,Krépin Diatta,Senegal,182.0,0,0,3,3,0.13,0.06
31684,Atiba Hutchinson,Canada,164.0,0,0,0,2,0.13,0.07
37122,Yuki Soma,Japan,82.0,0,0,0,3,0.13,0.14
2972,Marcus Thuram,France,184.0,0,2,2,1,0.12,0.06
3176,Thomas Meunier,Belgium,217.0,0,0,2,3,0.12,0.05
3634,Abdelhamid Sabiri,Morocco,197.0,0,1,2,3,0.12,0.05
4324,Daniel Alves da Silva,Brazil,132.0,0,0,0,3,0.12,0.08
5603,Nikola Milenković,Serbia,294.0,0,0,0,3,0.12,0.04
6773,Federico Santiago Valverde Dipetta,Uruguay,298.0,0,0,4,7,0.12,0.04
9286,Antoine Semenyo,Ghana,37.0,0,0,0,1,0.12,0.29
9922,David Junior Hoilett,Canada,167.0,0,0,4,4,0.12,0.06
22740,Kang-In Lee,South Korea,170.0,0,1,3,5,0.12,0.06
29377,Brennan Johnson,Wales,117.0,0,0,0,3,0.12,0.09
44166,Jakub Piotr Kiwior,Poland,377.0,0,0,0,1,0.12,0.03
51099,Firas Tariq Nasser Al Albirakan,Saudi Arabia,283.0,0,1,0,2,0.12,0.04
3077,Jan Vertonghen,Belgium,284.0,0,0,0,2,0.11,0.03
3193,Bernardo Mota Veiga de Carvalho e Silva,Portugal,382.0,0,0,5,1,0.11,0.03
23527,Junya Ito,Japan,350.0,0,1,3,2,0.11,0.03
23774,Selim Amallah,Morocco,424.0,0,0,3,2,0.11,0.02
31152,Gonzalo Jordy Plata Jiménez,Ecuador,281.0,0,0,2,2,0.11,0.04
43565,Min Jae Kim,South Korea,283.0,0,0,0,2,0.11,0.03
54144,Nawaf Shaker Al Abid,Saudi Arabia,90.0,0,0,1,2,0.11,0.11
3767,Ellyes Joris Skhiri,Tunisia,297.0,0,0,2,2,0.1,0.03
5203,Sergio Busquets i Burgos,Spain,382.0,0,0,3,2,0.1,0.02
5537,Fabian Lukas Schär,Switzerland,145.0,0,0,0,2,0.1,0.06
6300,Sebastián Coates Nión,Uruguay,200.0,0,0,0,1,0.1,0.04
6328,Kendall Jamaal Waston Manley,Costa Rica,249.0,0,0,0,1,0.1,0.04
6720,Pablo Sarabia García,Spain,8.0,0,0,2,1,0.1,1.13
8654,Ante Budimir,Croatia,79.0,0,0,0,1,0.1,0.11
11184,Otávio Edmilson da Silva Monteiro,Portugal,197.0,0,0,4,3,0.1,0.05
26368,César Jasib Montes Castro,Mexico,291.0,0,1,1,1,0.1,0.03
35592,Anis Ben Slimane,Tunisia,150.0,0,0,2,1,0.1,0.06
36288,Facundo Pellistri Rebollo,Uruguay,191.0,0,0,3,1,0.1,0.05
51096,Ali Al Hassan,Saudi Arabia,45.0,0,0,0,1,0.1,0.2
124161,Mehdi Torabi,Iran,96.0,0,0,2,2,0.1,0.09
4506,Nampalys Mendy,Senegal,294.0,0,0,1,2,0.09,0.03
6331,Leander Dendoncker,Belgium,167.0,0,0,1,1,0.09,0.05
7891,Teun Koopmeiners,Netherlands,249.0,0,1,1,2,0.09,0.03
8217,Kingsley Coman,France,208.0,0,0,1,1,0.09,0.04
9927,Rúben Diogo Da Silva Neves,Portugal,274.0,0,0,3,2,0.09,0.03
21026,Pape Gueye,Senegal,173.0,0,0,2,4,0.09,0.05
24243,Brenden Aaronson,United States,138.0,0,0,3,1,0.09,0.06
34339,Giovanni Reyna,United States,63.0,0,0,3,2,0.09,0.13
50498,Pape Matar Sarr,Senegal,68.0,0,0,1,4,0.09,0.12
3382,Luke Shaw,England,457.0,0,1,7,3,0.08,0.02
4372,Marcos Aoás Corrêa,Brazil,458.0,0,0,5,1,0.08,0.02
6297,Maximiliano Gómez González,Uruguay,49.0,0,0,0,2,0.08,0.15
6322,Niklas Süle,Germany,288.0,0,0,0,1,0.08,0.03
7104,Mathías Olivera Miramontes,Uruguay,264.0,0,0,6,2,0.08,0.03
19597,Marcos Javier Acuña,Argentina,418.0,0,0,5,2,0.08,0.02
30016,Martin Hongla Yma II,Cameroon,121.0,0,0,2,1,0.08,0.06
33477,Riley McGree,Australia,267.0,0,1,3,3,0.08,0.03
34794,Neco Williams,Wales,216.0,0,0,0,3,0.08,0.03
35658,Kamaldeen Sulemana,Ghana,78.0,0,0,0,1,0.08,0.09
39161,Alejandro Balde Martínez,Spain,146.0,0,0,0,1,0.08,0.05
44955,Aïssa Bilal Laïdouni,Tunisia,257.0,0,1,3,2,0.08,0.03
124167,Ahmad Nourollahi,Iran,224.0,0,0,0,5,0.08,0.03
3450,Jordan Ayew,Ghana,147.0,0,1,2,1,0.07,0.04
5230,Ehsan Hajsafi,Iran,250.0,0,0,2,1,0.07,0.03
8227,Mario Götze,Germany,54.0,0,0,2,1,0.07,0.12
22293,Harry Souttar,Australia,387.0,0,0,1,1,0.07,0.02
26318,Rogelio Gabriel Funes Mori,Mexico,12.0,0,0,0,1,0.07,0.53
33602,Tariq Lamptey,Ghana,112.0,0,0,0,1,0.07,0.06
37737,Angelo Smit Preciado Quiñónez,Ecuador,275.0,0,1,2,4,0.07,0.02
80484,Iliman Ndiaye,Senegal,141.0,0,1,0,2,0.07,0.04
3831,Dušan Tadić,Serbia,271.0,0,2,7,1,0.06,0.02
5231,Karim Ansarifard,Iran,58.0,0,0,1,1,0.06,0.09
5576,Jesús Daniel Gallardo Vasconcelos,Mexico,292.0,0,0,2,1,0.06,0.02
5655,Dylan Daniel Mahmoud Bronn,Tunisia,170.0,0,0,0,1,0.06,0.03
5722,Saeid Ezatolahi Afagh,Iran,240.0,0,0,2,3,0.06,0.02
6319,Luka Jović,Serbia,46.0,0,0,1,2,0.06,0.12
7439,Axel Disasi,France,116.0,0,0,0,1,0.06,0.05
7459,Jawad El Yamiq,Morocco,302.0,0,0,0,1,0.06,0.02
9540,Harry Wilson,Wales,167.0,0,0,3,2,0.06,0.03
10931,Joe Allen,Wales,106.0,0,0,1,2,0.06,0.05
12524,Walker Zimmerman,United States,310.0,0,0,0,1,0.06,0.02
16120,Richie Laryea,Canada,163.0,0,0,4,2,0.06,0.03
24547,Alexander Hartmann Bah,Denmark,57.0,0,0,0,2,0.06,0.09
28370,Fran Karačić,Australia,100.0,0,0,1,3,0.06,0.05
41711,Sang-Ho Na,South Korea,130.0,0,0,3,1,0.06,0.04
74588,Christopher Wooh,Cameroon,100.0,0,0,0,1,0.06,0.05
149714,Abdessamad Ezzalzouli,Morocco,55.0,0,0,2,1,0.06,0.1
3090,Nicolás Hernán Otamendi,Argentina,789.0,0,1,1,1,0.05,0.01
3141,André-Frank Zambo Anguissa,Cameroon,277.0,0,0,0,1,0.05,0.02
5211,Jordi Alba Ramos,Spain,271.0,0,2,3,2,0.05,0.02
5214,William Silva de Carvalho,Portugal,236.0,0,0,0,1,0.05,0.02
5249,Diego Roberto Godín Leal,Uruguay,160.0,0,0,0,1,0.05,0.03
5255,Matías Vecino Falero,Uruguay,206.0,0,0,1,1,0.05,0.02
5581,Joel Nathaniel Campbell Samuels,Costa Rica,292.0,0,0,1,1,0.05,0.02
5651,Yassine Meriah,Tunisia,297.0,0,0,1,1,0.05,0.02
5833,Nemanja Radonjić,Serbia,82.0,0,0,2,2,0.05,0.05
7005,João Pedro Cavaco Cancelo,Portugal,344.0,0,0,1,2,0.05,0.01
7796,Silvan Widmer,Switzerland,282.0,0,1,1,1,0.05,0.02
8776,Takumi Minamino,Japan,77.0,0,0,0,2,0.05,0.06
12625,Borna Sosa,Croatia,440.0,0,0,2,2,0.05,0.01
